Model,Validation Accuracy,Validation Precision,Validation Recall,Validation F1,Test Accuracy,Test Precision,Test Recall,Test F1
TF-IDF + Logistic Regression,0.8913623033857638,0.8785456420835482,0.9082911223673688,0.8931707956481846,0.8968,0.8872982821447163,0.9090666666666668,0.8980505795574288
Simple RNN,0.8077846169471741,0.836098981077147,0.765662490002666,0.7993320345115502,0.8123999834060669,0.8377053906024791,0.7749333333333334,0.805097658955534
LSTM,0.8647027611732483,0.8533057851239669,0.880831778192482,0.8668503213957759,0.8715999722480774,0.8631743549648163,0.8832,0.8730723606168446
GRU,0.8760330677032471,0.8786577181208054,0.8725673153825646,0.8756019261637239,0.887333333492279,0.8916149905634942,0.8818666666666667,0.8867140367341466
